Year,Month,Region,Org Code,Org Name,A0,A1,A2
2021,4,Y59,R1F,ISLE OF WIGHT NHS TRUST,2900,1527,11079
2021,4,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,151930,112397,69912
2021,4,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,45876,31780,141490
2021,4,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,127764,101039,203632
2021,4,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,69819,39070,265967
2021,4,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,83600,63495,296855
2021,4,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,104358,76818,225508
2021,4,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,114226,76861,24887
2021,4,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,95590,52181,372118
2021,5,Eng,Eng,England,1128625,800941,5456717
2021,5,North East and Yorkshire,Y63,North East and Yorkshire,158650,96160,1035954
2021,5,North West,Y62,North West,145953,118409,753690
2021,5,Midlands,Y60,Midlands,234570,168933,793230
2021,5,East of England,Y61,East of England,117183,77838,516517
2021,5,London,Y56,London,172029,128251,959810
2021,5,South East,Y59,South East,178310,120175,929581
2021,5,South West,Y58,South West,121930,91175,467935
2021,5,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,103714,79420,739173
2021,5,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,117183,77838,516517
2021,5,Y59,R1F,ISLE OF WIGHT NHS TRUST,3135,1653,13259
2021,5,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,172029,128251,959810
2021,5,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,50907,35810,203480
2021,5,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,145953,118409,753690
2021,5,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,81922,46993,341848
2021,5,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,93253,71529,574474
2021,5,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,121930,91175,467935
2021,5,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,130856,89513,54057
2021,5,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,107743,60350,832474
2021,6,Eng,Eng,England,1190688,892059,15254868
2021,6,North East and Yorkshire,Y63,North East and Yorkshire,159996,103874,3701379
2021,6,North West,Y62,North West,155836,132491,2197173
2021,6,Midlands,Y60,Midlands,247253,190314,1944209
2021,6,East of England,Y61,East of England,123513,86078,1528533
2021,6,London,Y56,London,190663,145870,2616409
2021,6,South East,Y59,South East,187381,133921,2386146
2021,6,South West,Y58,South West,126046,99511,881019
2021,6,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,107923,86693,1820553
2021,6,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,123513,86078,1528533
2021,6,Y59,R1F,ISLE OF WIGHT NHS TRUST,3452,1960,19417
2021,6,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,190663,145870,2616409
2021,6,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,52469,39888,837274
2021,6,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,155836,132491,2197173
2021,6,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,84574,52146,618010
2021,6,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,99355,79815,1748719
2021,6,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,126046,99511,881019
2021,6,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,139330,103621,123656
2021,6,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,107527,63986,2864105
2021,7,Eng,Eng,England,1296174,1003799,42155833
2021,7,North East and Yorkshire,Y63,North East and Yorkshire,174284,119916,9292141
2021,7,North West,Y62,North West,170886,149692,7641850
2021,7,Midlands,Y60,Midlands,280295,225883,4298683
2021,7,East of England,Y61,East of England,131579,95941,2267206
2021,7,London,Y56,London,203432,157514,8724632
2021,7,South East,Y59,South East,197720,146404,6020446
2021,7,South West,Y58,South West,137978,108449,3910875
2021,7,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,117671,96820,2757140
2021,7,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,131579,95941,2267206
2021,7,Y59,R1F,ISLE OF WIGHT NHS TRUST,2917,1455,12680
2021,7,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,203432,157514,8724632
2021,7,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,56335,44856,1693030
2021,7,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,170886,149692,7641850
2021,7,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,90809,59180,1893254
2021,7,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,103994,85769,4114512
2021,7,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,137978,108449,3910875
2021,7,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,162624,129063,1541543
2021,7,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,117949,75060,7599111
2021,8,Eng,Eng,England,1207408,922005,24262065
2021,8,North East and Yorkshire,Y63,North East and Yorkshire,166734,110836,3565040
2021,8,North West,Y62,North West,154054,132702,3816464
2021,8,Midlands,Y60,Midlands,246943,196413,2229851
2021,8,East of England,Y61,East of England,129580,93154,2382724
2021,8,London,Y56,London,191613,148772,4190457
2021,8,South East,Y59,South East,188361,137635,4904020
2021,8,South West,Y58,South West,130123,102493,3173509
2021,8,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,107452,86011,1860458
2021,8,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,129580,93154,2382724
2021,8,Y59,R1F,ISLE OF WIGHT NHS TRUST,3342,1904,24864
2021,8,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,191613,148772,4190457
2021,8,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,52249,40165,868262
2021,8,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,154054,132702,3816464
2021,8,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,86472,55996,1558086
2021,8,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,98547,79735,3321070
2021,8,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,130123,102493,3173509
2021,8,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,139491,110402,369393
2021,8,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,114485,70671,2696778
2021,9,Eng,Eng,England,1226604,946707,42979679
2021,9,North East and Yorkshire,Y63,North East and Yorkshire,160315,116123,9094609
2021,9,North West,Y62,North West,157753,137414,4583039
2021,9,Midlands,Y60,Midlands,253006,205540,3280444
2021,9,East of England,Y61,East of England,132042,97417,3651903
2021,9,London,Y56,London,194695,151684,5853324
2021,9,South East,Y59,South East,203687,137137,7454057
2021,9,South West,Y58,South West,125106,101392,9062303
2021,9,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,108916,89371,2709844
2021,9,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,132042,97417,3651903
2021,9,Y59,R1F,ISLE OF WIGHT NHS TRUST,3493,2187,54448
2021,9,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,194695,151684,5853324
2021,9,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,52364,42693,1327166
2021,9,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,157753,137414,4583039
2021,9,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,101539,53301,2562221
2021,9,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,98655,81649,4837388
2021,9,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,125106,101392,9062303
2021,9,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,144090,116169,570600
2021,9,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,107951,73430,7767443
2021,10,Eng,Eng,England,1304032,1012143,56928129
2021,10,North East and Yorkshire,Y63,North East and Yorkshire,164370,122129,15627100
2021,10,North West,Y62,North West,165897,141567,4849472
2021,10,Midlands,Y60,Midlands,273693,221804,3789663
2021,10,East of England,Y61,East of England,141105,101377,5378856
2021,10,London,Y56,London,203354,158184,3929161
2021,10,South East,Y59,South East,222491,155978,8550144
2021,10,South West,Y58,South West,133122,111104,14803733
2021,10,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,114679,93765,3022699
2021,10,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,141105,101377,5378856
2021,10,Y59,R1F,ISLE OF WIGHT NHS TRUST,3477,2179,64377
2021,10,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,203354,158184,3929161
2021,10,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,55624,46649,3099907
2021,10,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,165897,141567,4849472
2021,10,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,113645,64712,4310655
