Year,Month,Region,Org Code,Org Name,A0,A1,A2,A3,A4,A114,A5,A6,A111,A112,A113,A7,A8,A9,A10,A11,A12,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A17,A18,A19,A20,A21,A22,A23,A53,A54,A55,A56,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A74,A82,A83,A84,A78,A94,A95,A96,A115,A116,A117,A118,A75,A85,A86,A87,A79,A97,A98,A99,A119,A120,A121,A122,A76,A88,A89,A90,A80,A100,A101,A102,A77,A91,A92,A93,A81,A103,A104,A105,A49,A50,A51,A52,A13,A14,A15,A16,A106,A107,A108,A109,A110,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73
2017,8,Y59,R1F,ISLE OF WIGHT NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,99343,75832,1466629,19,1,.,98,203,.,.,.,.,5973,4181,37433,18239,2359,3627802,607,959,3926783,939,1765,54641393,1460,3354,46719293,2562,5849,11918626,5052,9261,.,.,.,.,.,.,.,47271,5598,17661,70530,12125,10524,8474,7508,52232,44938,26150,20740,3367,2579,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1355,55934,41,94,.,.,.,.,.,192,2722,1314,100,895,11920690,4379,8741,6173884,4699,10027,559592,5596,12455,4816254,5381,12379
2017,8,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Eng,Eng,England,379791,289824,6276073,22,2,.,72,132,.,.,.,187539,25533,18268,137472,74760,6076,12431963,487,855,14055960,769,1530,181361290,1319,2808,217735289,2912,6794,28403391,4675,9895,12705,1967,2531,3533,3022,5185,3165,172181,15986,73945,262112,51177,41708,36568,30468,192572,160052,120562,83556,10654,6695,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9322,424921,46,77,.,.,.,.,.,547,6097,3917,207,6073,37685505,6181,13700,24502998,6256,12972,1209369,5842,12135,63968472,10533,22259
2017,9,North East and Yorkshire,Y63,North East and Yorkshire,89236,64544,323431,5,1,.,23,78,.,.,.,63236,8506,6610,30731,13351,1171,3694526,434,808,3938472,596,1167,39300428,1279,2689,37892388,2838,6560,5779201,4935,11704,4281,1544,119,3421,2596,22,1806,38795,6097,14063,58955,18710,15000,14314,11743,50463,38339,26112,16214,2405,1365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3884,117510,30,52,.,.,.,.,.,91,2229,753,78,2045,17440550,7824,18915,4893654,6499,14236,432947,5551,12132,22105770,10810,25555
2017,9,North West,Y62,North West,125385,96984,5508018,57,2,.,175,263,.,.,.,.,7521,5362,47669,21630,2926,4434136,590,981,4900340,914,1664,71741773,1505,3373,66320301,3066,7101,15622188,5339,9714,.,.,.,.,.,.,.,59014,6720,21544,87278,15096,13038,10673,9435,65770,56721,31707,25038,4109,3224,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1628,93483,57,143,.,.,.,.,.,258,3242,1432,125,1045,16113705,4970,10406,7697687,5375,11020,749965,6000,12021,6259876,5990,13532
2017,9,Midlands,Y60,Midlands,165170,128296,444624,3,2,.,19,60,.,.,.,124303,9506,6296,59072,39779,1979,4303301,453,797,5217148,829,1796,70319089,1190,2415,113522600,2854,6706,7002002,3538,9093,8424,423,2412,112,426,5163,1359,74372,3169,38338,115879,17371,13670,11581,9290,76339,64992,62743,42304,4140,2106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3810,213928,56,74,.,.,.,.,.,198,626,1732,4,2983,4131250,6599,12191,11911657,6877,14036,26457,6614,15747,35602826,11935,23056
2017,9,East of England,Y61,East of England,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,London,Y56,London,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,South East,Y59,South East,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,South West,Y58,South West,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,81116,67448,246301,4,2,.,21,73,.,.,.,58641,4466,2964,31592,13042,238,2202808,493,885,3529328,1191,2794,49993361,1582,3346,59183269,4538,10927,1233406,5182,16055,6149,423,2400,112,226,3100,108,36587,736,15169,52492,8349,6835,5725,4765,40796,35675,17600,13988,338,261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,625,609,4,1916,4131055,6610,12210,5190759,8523,14346,26457,6614,15747,26652343,13910,24771
2017,9,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y59,R1F,ISLE OF WIGHT NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,125385,96984,5508018,57,2,.,175,263,.,.,.,.,7521,5362,47669,21630,2926,4434136,590,981,4900340,914,1664,71741773,1505,3373,66320301,3066,7101,15622188,5339,9714,.,.,.,.,.,.,.,59014,6720,21544,87278,15096,13038,10673,9435,65770,56721,31707,25038,4109,3224,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1628,93483,57,143,.,.,.,.,.,258,3242,1432,125,1045,16113705,4970,10406,7697687,5375,11020,749965,6000,12021,6259876,5990,13532
2017,9,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,84054,60848,198323,3,1,.,17,45,.,.,.,65662,5040,3332,27480,26737,1741,2100493,417,719,1687820,507,908,20325728,740,1344,54339331,2032,4647,5768596,3313,8141,2275,0,12,0,200,2063,1251,37785,2433,23169,63387,9022,6835,5856,4525,35543,29317,45143,28316,3802,1845,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3810,213928,56,74,.,.,.,.,.,198,1,1123,0,1067,195,195,195,6720898,5985,13868,.,.,.,8950483,8388,19977
2017,9,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,89236,64544,323431,5,1,.,23,78,.,.,.,63236,8506,6610,30731,13351,1171,3694526,434,808,3938472,596,1167,39300428,1279,2689,37892388,2838,6560,5779201,4935,11704,4281,1544,119,3421,2596,22,1806,38795,6097,14063,58955,18710,15000,14314,11743,50463,38339,26112,16214,2405,1365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3884,117510,30,52,.,.,.,.,.,91,2229,753,78,2045,17440550,7824,18915,4893654,6499,14236,432947,5551,12132,22105770,10810,25555
2017,10,Eng,Eng,England,416653,316099,4282835,14,2,.,59,124,.,.,.,307209,27768,19786,154158,83585,7428,13183720,475,823,15146045,765,1506,202816486,1316,2802,224828822,2690,6277,30537984,4111,9071,14276,2974,2638,8959,3763,4901,4028,191251,17233,84449,292933,54969,44555,39205,32430,213996,178481,133791,92767,13052,8120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,3801,173,294,11700,465633,40,65,.,.,.,.,.,641,6540,4554,236,6529,38407522,5873,13013,26142475,5741,12211,1633525,6922,13526,65584935,10045,20240
2017,10,North East and Yorkshire,Y63,North East and Yorkshire,91503,66262,340293,5,3,.,19,77,.,.,.,66358,8629,6617,32293,14113,1373,3723032,431,797,3884624,587,1152,38055287,1178,2481,34152749,2420,5502,5545931,4039,10385,4191,1491,116,3467,2567,17,2002,40725,6289,15153,62167,18906,15079,14288,11636,52313,40043,27509,17142,2743,1616,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3891,115313,30,51,.,.,.,.,.,84,2634,863,102,2076,16291783,6185,14537,5106990,5918,13497,616303,6042,11642,19397008,9343,21032
2017,10,North West,Y62,North West,133858,102708,3446219,34,1,.,145,248,.,.,.,95348,7820,5733,52620,20898,3488,4445784,569,936,5112466,892,1594,82057913,1559,3469,65084558,3114,7328,17011507,4877,9011,2641,171,1084,5478,292,1094,0,62986,7030,22691,92707,15527,13455,11275,9953,71974,61939,30553,24006,4683,3798,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1671,81771,49,119,.,.,.,.,.,285,3354,1522,131,1096,18264038,5445,11766,8268231,5432,11489,969008,7397,14852,7959502,7262,16032
2017,10,Midlands,Y60,Midlands,191292,147129,496323,3,1,.,18,59,.,.,.,145503,11319,7436,69245,48574,2567,5014904,443,766,6148955,827,1752,82703286,1194,2444,125591515,2586,6050,7980546,3109,8451,7444,1312,1438,14,904,3790,2026,87540,3914,46605,138059,20536,16021,13642,10841,89709,76499,75729,51619,5626,2706,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,3801,173,294,6138,268549,44,60,.,.,.,.,.,272,552,2169,3,3357,3851701,6978,13316,12767254,5886,12206,48214,16071,19713,38228425,11388,21124
2017,10,East of England,Y61,East of England,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
